date,season,seasnum,april,june,august,october,stream,streamnum,bear,cave,falling,sylamore,tomahawk,water,reach,richness,all,streamtype
37718,April,4,1,0,0,0,Falling,3,0,0,1,0,0,0,3,9,0.244852532,1
37718,April,4,1,0,0,0,Falling,3,0,0,1,0,0,0,4,7,0.291375291,1
37718,April,4,1,0,0,0,Falling,3,0,0,1,0,0,0,5,7,0.12945453,1
37718,April,4,1,0,0,0,Falling,3,0,0,1,0,0,0,6,5,0.381601916,1
37718,April,4,1,0,0,0,Falling,3,0,0,1,0,0,0,7,7,0.237017884,1
37780,June,6,0,1,0,0,Falling,3,0,0,1,0,0,0,1,4,0.894893841,1
37780,June,6,0,1,0,0,Falling,3,0,0,1,0,0,0,2,6,0.389439476,1
37780,June,6,0,1,0,0,Falling,3,0,0,1,0,0,0,3,11,0.114185332,1
37780,June,6,0,1,0,0,Falling,3,0,0,1,0,0,0,4,7,0.350598186,1
37780,June,6,0,1,0,0,Falling,3,0,0,1,0,0,0,5,6,0.17185685,1
37780,June,6,0,1,0,0,Falling,3,0,0,1,0,0,0,6,7,0.314437942,1
37780,June,6,0,1,0,0,Falling,3,0,0,1,0,0,0,7,6,0.416294975,1
37829,August,8,0,0,1,0,Falling,3,0,0,1,0,0,0,1,10,2.651515152,1
37829,August,8,0,0,1,0,Falling,3,0,0,1,0,0,0,2,6,0.405765738,1
37829,August,8,0,0,1,0,Falling,3,0,0,1,0,0,0,3,9,0.452631579,1
37829,August,8,0,0,1,0,Falling,3,0,0,1,0,0,0,4,9,0.635899959,1
37829,August,8,0,0,1,0,Falling,3,0,0,1,0,0,0,5,9,0.294951787,1
37829,August,8,0,0,1,0,Falling,3,0,0,1,0,0,0,6,9,0.758378409,1
37829,August,8,0,0,1,0,Falling,3,0,0,1,0,0,0,7,7,0.429452356,1
37890,October,10,0,0,0,1,Falling,3,0,0,1,0,0,0,1,8,0.666542659,1
37890,October,10,0,0,0,1,Falling,3,0,0,1,0,0,0,2,3,0.060864273,1
37890,October,10,0,0,0,1,Falling,3,0,0,1,0,0,0,3,10,0.291651087,1
37890,October,10,0,0,0,1,Falling,3,0,0,1,0,0,0,4,7,0.266666667,1
37890,October,10,0,0,0,1,Falling,3,0,0,1,0,0,0,5,7,0.416794361,1
37890,October,10,0,0,0,1,Falling,3,0,0,1,0,0,0,6,10,0.593499328,1
37890,October,10,0,0,0,1,Falling,3,0,0,1,0,0,0,7,5,0.20979021,1
37721,April,4,1,0,0,0,Sylamore,4,0,0,0,1,0,0,1,3,0.084068937,2
37721,April,4,1,0,0,0,Sylamore,4,0,0,0,1,0,0,2,13,0.168719672,2
37721,April,4,1,0,0,0,Sylamore,4,0,0,0,1,0,0,3,9,0.23054755,2
37721,April,4,1,0,0,0,Sylamore,4,0,0,0,1,0,0,4,3,0.187745349,2
37783,June,6,0,1,0,0,Sylamore,4,0,0,0,1,0,0,1,9,1.194220338,2
37783,June,6,0,1,0,0,Sylamore,4,0,0,0,1,0,0,2,11,0.310501722,2
37783,June,6,0,1,0,0,Sylamore,4,0,0,0,1,0,0,3,13,0.368894791,2
37783,June,6,0,1,0,0,Sylamore,4,0,0,0,1,0,0,4,12,0.270526209,2
37783,June,6,0,1,0,0,Sylamore,4,0,0,0,1,0,0,5,9,0.387040338,2
37783,June,6,0,1,0,0,Sylamore,4,0,0,0,1,0,0,6,8,0.343308055,2
37830,August,8,0,0,1,0,Sylamore,4,0,0,0,1,0,0,1,9,0.655474012,2
37830,August,8,0,0,1,0,Sylamore,4,0,0,0,1,0,0,2,9,0.366142831,2
37830,August,8,0,0,1,0,Sylamore,4,0,0,0,1,0,0,3,10,0.154208999,2
37830,August,8,0,0,1,0,Sylamore,4,0,0,0,1,0,0,4,12,0.291840747,2
37830,August,8,0,0,1,0,Sylamore,4,0,0,0,1,0,0,5,9,0.197311063,2
37889,October,10,0,0,0,1,Sylamore,4,0,0,0,1,0,0,1,8,0.786667736,2
37889,October,10,0,0,0,1,Sylamore,4,0,0,0,1,0,0,2,12,0.446825947,2
37889,October,10,0,0,0,1,Sylamore,4,0,0,0,1,0,0,3,13,0.365475703,2
37889,October,10,0,0,0,1,Sylamore,4,0,0,0,1,0,0,4,6,0.170365525,2
37723,April,4,1,0,0,0,Tomahawk,5,0,0,0,0,1,0,1,7,1.385350774,2
37723,April,4,1,0,0,0,Tomahawk,5,0,0,0,0,1,0,2,6,1.108450222,2
37723,April,4,1,0,0,0,Tomahawk,5,0,0,0,0,1,0,3,9,1.310520568,2
37723,April,4,1,0,0,0,Tomahawk,5,0,0,0,0,1,0,4,6,0.927812478,2
37723,April,4,1,0,0,0,Tomahawk,5,0,0,0,0,1,0,5,6,1.521772212,2
37723,April,4,1,0,0,0,Tomahawk,5,0,0,0,0,1,0,6,4,2.365069739,2
37723,April,4,1,0,0,0,Tomahawk,5,0,0,0,0,1,0,7,8,0.723528061,2
37723,April,4,1,0,0,0,Tomahawk,5,0,0,0,0,1,0,8,8,1.259792166,2
37776,June,6,0,1,0,0,Tomahawk,5,0,0,0,0,1,0,1,6,1.626315628,2
37776,June,6,0,1,0,0,Tomahawk,5,0,0,0,0,1,0,2,6,1.249556895,2
37776,June,6,0,1,0,0,Tomahawk,5,0,0,0,0,1,0,3,7,1.7768513,2
37776,June,6,0,1,0,0,Tomahawk,5,0,0,0,0,1,0,4,8,2.204669734,2
37776,June,6,0,1,0,0,Tomahawk,5,0,0,0,0,1,0,5,4,1.607479701,2
37776,June,6,0,1,0,0,Tomahawk,5,0,0,0,0,1,0,6,7,0.8994004,2
37776,June,6,0,1,0,0,Tomahawk,5,0,0,0,0,1,0,7,3,0.802287373,2
37776,June,6,0,1,0,0,Tomahawk,5,0,0,0,0,1,0,8,9,1.619047619,2
37776,June,6,0,1,0,0,Tomahawk,5,0,0,0,0,1,0,9,8,3.332532244,2
37846,August,8,0,0,1,0,Tomahawk,5,0,0,0,0,1,0,1,5,1.707393108,2
37846,August,8,0,0,1,0,Tomahawk,5,0,0,0,0,1,0,2,7,0.652057282,2
37846,August,8,0,0,1,0,Tomahawk,5,0,0,0,0,1,0,3,7,1.110654052,2
37846,August,8,0,0,1,0,Tomahawk,5,0,0,0,0,1,0,4,4,0.679347826,2
37846,August,8,0,0,1,0,Tomahawk,5,0,0,0,0,1,0,5,8,1.385319627,2
37846,August,8,0,0,1,0,Tomahawk,5,0,0,0,0,1,0,6,5,0.323774283,2
37846,August,8,0,0,1,0,Tomahawk,5,0,0,0,0,1,0,7,7,1.143383226,2
37846,August,8,0,0,1,0,Tomahawk,5,0,0,0,0,1,0,8,8,1.89340634,2
37899,October,10,0,0,0,1,Tomahawk,5,0,0,0,0,1,0,1,6,0.5828768,2
37899,October,10,0,0,0,1,Tomahawk,5,0,0,0,0,1,0,2,6,0.384546911,2
37899,October,10,0,0,0,1,Tomahawk,5,0,0,0,0,1,0,3,8,0.514077823,2
37899,October,10,0,0,0,1,Tomahawk,5,0,0,0,0,1,0,4,2,0.136143606,2
37899,October,10,0,0,0,1,Tomahawk,5,0,0,0,0,1,0,5,8,0.895656068,2
37899,October,10,0,0,0,1,Tomahawk,5,0,0,0,0,1,0,6,1,0.210096294,2
37899,October,10,0,0,0,1,Tomahawk,5,0,0,0,0,1,0,7,9,1.416868071,2
37899,October,10,0,0,0,1,Tomahawk,5,0,0,0,0,1,0,8,7,1.044770629,2
37720,April,4,1,0,0,0,Water,6,0,0,0,0,0,1,1,8,0.735217164,2
37720,April,4,1,0,0,0,Water,6,0,0,0,0,0,1,2,8,0.779727096,2
37720,April,4,1,0,0,0,Water,6,0,0,0,0,0,1,3,4,0.91611479,2
37720,April,4,1,0,0,0,Water,6,0,0,0,0,0,1,4,8,0.880483883,2
37720,April,4,1,0,0,0,Water,6,0,0,0,0,0,1,5,6,0.688573599,2
37720,April,4,1,0,0,0,Water,6,0,0,0,0,0,1,6,1,1.879400614,2
37775,June,6,0,1,0,0,Water,6,0,0,0,0,0,1,1,7,0.970769065,2
37775,June,6,0,1,0,0,Water,6,0,0,0,0,0,1,2,8,0.442992012,2
37775,June,6,0,1,0,0,Water,6,0,0,0,0,0,1,3,9,2.145401062,2
37775,June,6,0,1,0,0,Water,6,0,0,0,0,0,1,4,6,0.961419943,2
37775,June,6,0,1,0,0,Water,6,0,0,0,0,0,1,5,8,0.895074503,2
37775,June,6,0,1,0,0,Water,6,0,0,0,0,0,1,6,7,0.615243915,2
37775,June,6,0,1,0,0,Water,6,0,0,0,0,0,1,7,9,2.539963354,2
37843,August,8,0,0,1,0,Water,6,0,0,0,0,0,1,1,7,2.356641757,2
37843,August,8,0,0,1,0,Water,6,0,0,0,0,0,1,2,9,1.69645021,2
37843,August,8,0,0,1,0,Water,6,0,0,0,0,0,1,3,6,1.324503311,2
37843,August,8,0,0,1,0,Water,6,0,0,0,0,0,1,4,9,0.670470195,2
37843,August,8,0,0,1,0,Water,6,0,0,0,0,0,1,5,8,0.813753773,2
37843,August,8,0,0,1,0,Water,6,0,0,0,0,0,1,6,9,5.122906711,2
37897,October,10,0,0,0,1,Water,6,0,0,0,0,0,1,1,7,0.288113048,2
37897,October,10,0,0,0,1,Water,6,0,0,0,0,0,1,2,7,0.637883569,2
37897,October,10,0,0,0,1,Water,6,0,0,0,0,0,1,3,3,0.089285714,2
37897,October,10,0,0,0,1,Water,6,0,0,0,0,0,1,4,7,0.375100989,2
37897,October,10,0,0,0,1,Water,6,0,0,0,0,0,1,5,9,0.300746269,2
37897,October,10,0,0,0,1,Water,6,0,0,0,0,0,1,6,7,1.644350482,2
