date	season	seasnum	stream	streamnum	streamtype	reach	vname	vlabel	all	temp	do	ph	spc	length	cover	area	width	canopy	depth	velocity	substrate	volume	totdenvol	totdenarea
4/7/2003	April	4.00	Falling	3.00	1.00	5.00	PopEst	PopEst	25.00	9.59	0.91	6.17	15.35	22.30	8.00	193.12	8.66	83.00	47.20	1.27	5.20	91.15	0.27	0.13
4/7/2003	April	4.00	Falling	3.00	1.00	6.00	PopEst	PopEst	47.00	9.59	0.91	6.17	15.35	23.80	15.00	123.17	5.18	90.00	27.83	4.42	4.75	34.28	1.37	0.38
4/7/2003	April	4.00	Falling	3.00	1.00	7.00	PopEst	PopEst	44.00	9.59	0.91	6.17	15.35	20.80	75.00	185.64	8.93	67.50	14.92	14.00	4.50	27.69	1.59	0.24
6/8/2003	June	6.00	Falling	3.00	1.00	1.00	PopEst	PopEst	51.00	17.50	0.88	6.63	15.83	13.90	12.00	56.99	4.10		26.78	15.89	5.11	15.26	3.34	0.89
6/8/2003	June	6.00	Falling	3.00	1.00	2.00	PopEst	PopEst	58.00	16.80	0.83	6.85	15.67	18.90	35.00	148.93	7.88		14.07	18.67	4.87	20.95	2.77	0.39
6/8/2003	June	6.00	Falling	3.00	1.00	3.00	PopEst	PopEst	39.00	16.97	0.77	6.77	15.70	40.50	10.00	341.55	8.43		47.39	0.72	5.44	161.86	0.24	0.11
6/8/2003	June	6.00	Falling	3.00	1.00	4.00	PopEst	PopEst	194.00	17.12	0.77	6.73	15.80	75.80	50.00	553.34	7.30		17.62	14.00	4.67	97.49	1.99	0.35
6/8/2003	June	6.00	Falling	3.00	1.00	5.00	PopEst	PopEst	27.00	17.02	0.81	6.61	15.83	19.70	20.00	157.11	7.98		41.00	1.17	5.25	64.41	0.42	0.17
6/8/2003	June	6.00	Falling	3.00	1.00	6.00	PopEst	PopEst	36.00	17.07	0.88	6.62	15.70	21.40	30.00	114.49	5.35		31.08	11.42	5.17	35.59	1.01	0.31
6/8/2003	June	6.00	Falling	3.00	1.00	7.00	PopEst	PopEst	63.00	17.04	0.90	6.61	15.67	17.10	30.00	151.34	8.85		16.17	14.92	4.75	24.47	2.58	0.42
7/27/2003	August	8.00	Falling	3.00	1.00	1.00	PopEst	PopEst	161.00	26.35	0.88	6.65	23.80	25.30	1.00	60.72	2.40	53.00	11.73	2.07	5.27	7.12	22.60	2.65
7/27/2003	August	8.00	Falling	3.00	1.00	2.00	PopEst	PopEst	35.00	29.06	0.88	6.69	23.10	11.30	65.00	86.26	7.63	20.00	2.33	1.22	4.78	2.01	17.39	0.41
7/27/2003	August	8.00	Falling	3.00	1.00	3.00	PopEst	PopEst	129.00	28.55	0.84	6.67	23.30	39.90	2.00	285.00	7.14	42.86	34.43	0.00	5.29	98.12	1.31	0.45
7/27/2003	August	8.00	Falling	3.00	1.00	4.00	PopEst	PopEst	192.00	27.96	0.81	6.51	23.30	73.90	80.00	301.93	4.09	30.36	7.79	2.38	4.17	23.51	8.17	0.64
7/27/2003	August	8.00	Falling	3.00	1.00	5.00	PopEst	PopEst	52.00	28.28	0.77	6.45	23.30	20.50	3.00	176.30	8.60	42.50	40.00	0.00	5.50	70.52	0.74	0.29
7/27/2003	August	8.00	Falling	3.00	1.00	6.00	PopEst	PopEst	68.00	28.57	0.77	6.51	23.10	22.70	15.00	89.67	3.95	32.50	17.75	1.50	5.25	15.92	4.27	0.76
7/27/2003	August	8.00	Falling	3.00	1.00	7.00	PopEst	PopEst	39.00	29.35	0.75	6.66	23.00	19.60	80.00	90.81	4.63	58.33	7.67	0.89	4.56	6.96	5.60	0.43
9/26/2003	October	10.00	Falling	3.00	1.00	1.00	PopEst	PopEst	43.00					25.20		64.51	2.56	51.00	11.73	0.67	5.07	7.57	5.68	0.67
9/26/2003	October	10.00	Falling	3.00	1.00	2.00	PopEst	PopEst	4.00					12.40		65.72	5.30	20.00	1.56	0.44	4.33	1.02	3.91	0.06
9/26/2003	October	10.00	Falling	3.00	1.00	3.00	PopEst	PopEst	91.00					48.50		312.02	6.43	37.22	24.96	0.00	5.33	77.89	1.17	0.29
9/26/2003	October	10.00	Falling	3.00	1.00	4.00	PopEst	PopEst	62.00					65.00		232.50	3.58	38.08	6.95	0.41	4.03	16.16	3.84	0.27
9/26/2003	October	10.00	Falling	3.00	1.00	5.00	PopEst	PopEst	68.00					19.50		163.15	8.37	36.67	30.11	0.00	5.33	49.13	1.38	0.42
9/26/2003	October	10.00	Falling	3.00	1.00	6.00	PopEst	PopEst	64.00					23.70		107.84	4.55	48.75	21.08	0.00	5.33	22.74	2.82	0.59
9/26/2003	October	10.00	Falling	3.00	1.00	7.00	PopEst	PopEst	9.00					13.00		42.90	3.30	65.00	7.33	0.00	4.22	3.15	2.86	0.21
4/10/2003	April	4.00	Sylamore	4.00	2.00	1.00	PopEst	PopEst	22.00	12.02	0.96	7.47	269.80	24.40	35.00	261.69	10.73	85.00	11.17	4.83	4.08	29.22	0.75	0.08
4/10/2003	April	4.00	Sylamore	4.00	2.00	2.00	PopEst	PopEst	113.00	12.02	0.96	7.47	269.80	57.00	10.00	669.75	11.75	80.63	46.04	1.58	4.04	308.36	0.37	0.17
4/10/2003	April	4.00	Sylamore	4.00	2.00	3.00	PopEst	PopEst	100.00	12.02	0.96	7.47	269.80	50.00		433.75	8.68	78.75	15.71	6.13	3.63	68.13	1.47	0.23
4/10/2003	April	4.00	Sylamore	4.00	2.00	4.00	PopEst	PopEst	66.00	12.02	0.96	7.47	269.80	37.80		351.54	9.30	90.71	13.19	8.00	3.67	46.37	1.42	0.19
6/11/2003	June	6.00	Sylamore	4.00	2.00	1.00	PopEst	PopEst	262.00	17.79	0.83	7.87	277.63	21.30	25.00	219.39	10.30	47.50	18.17	5.67	3.50	39.86	6.57	1.19
6/11/2003	June	6.00	Sylamore	4.00	2.00	2.00	PopEst	PopEst	101.00	17.75	0.91	7.88	277.07	30.40	5.00	325.28	10.70	47.50	46.33	1.94	3.61	150.71	0.67	0.31
6/11/2003	June	6.00	Sylamore	4.00	2.00	3.00	PopEst	PopEst	90.00	17.80	0.97	7.91	184.92	24.30	5.00	243.97	10.04	46.00	39.27	1.80	3.73	95.80	0.94	0.37
6/11/2003	June	6.00	Sylamore	4.00	2.00	4.00	PopEst	PopEst	113.00	17.86	1.03	7.92	275.67	49.40	5.00	417.70	8.46	42.78	19.81	6.11	3.70	82.77	1.37	0.27
6/11/2003	June	6.00	Sylamore	4.00	2.00	5.00	PopEst	PopEst	134.00	17.85	1.08	7.92	275.53	39.60	10.00	346.22	8.74	42.14	11.10	8.90	3.86	38.41	3.49	0.39
6/11/2003	June	6.00	Sylamore	4.00	2.00	6.00	PopEst	PopEst	134.00	17.95	1.09	7.93	274.87	23.80	5.00	390.32	16.40	61.25	12.33	4.25	4.00	48.14	2.78	0.34
7/28/2003	August	8.00	Sylamore	4.00	2.00	1.00	PopEst	PopEst	163.00	23.72	0.85	7.69	290.00	24.50	60.00	248.68	10.15	42.50	10.92	3.50	3.92	27.15	6.00	0.66
7/28/2003	August	8.00	Sylamore	4.00	2.00	2.00	PopEst	PopEst	105.00	23.72	0.85	7.69	290.00	30.40	45.00	286.77	9.43	35.83	39.50	0.11	4.00	113.28	0.93	0.37
7/28/2003	August	8.00	Sylamore	4.00	2.00	3.00	PopEst	PopEst	34.00	23.72	0.85	7.69	290.00	26.00	35.00	220.48	8.48	37.00	31.60	0.00	3.33	69.67	0.49	0.15
7/28/2003	August	8.00	Sylamore	4.00	2.00	4.00	PopEst	PopEst	95.00	23.72	0.85	7.69	290.00	41.60	20.00	325.52	7.83	40.63	16.17	3.63	3.38	52.63	1.81	0.29
7/28/2003	August	8.00	Sylamore	4.00	2.00	5.00	PopEst	PopEst	86.00	23.72	0.85	7.69	290.00	58.90	50.00	435.86	7.40	45.91	8.67	6.88	3.58	37.77	2.28	0.20
9/25/2003	October	10.00	Sylamore	4.00	2.00	1.00	PopEst	PopEst	157.00					24.70		199.58	8.08	48.00	9.33	2.33	3.67	18.63	8.43	0.79
9/25/2003	October	10.00	Sylamore	4.00	2.00	2.00	PopEst	PopEst	232.00					55.90		519.22	9.29	46.42	34.03	0.38	4.20	176.71	1.31	0.45
9/25/2003	October	10.00	Sylamore	4.00	2.00	3.00	PopEst	PopEst	125.00					49.00		342.02	6.98	40.50	17.40	2.27	3.83	59.51	2.10	0.37
9/25/2003	October	10.00	Sylamore	4.00	2.00	4.00	PopEst	PopEst	48.00					38.90		281.75	7.24	40.00	9.52	4.81	3.67	26.83	1.79	0.17
4/12/2003	April	4.00	Tomahawk	5.00	2.00	1.00	PopEst	PopEst	242.00	16.80	1.04	7.77	404.75	21.70	20.00	174.69	8.05	60.00	12.75	2.33	3.58	22.27	10.87	1.39
4/12/2003	April	4.00	Tomahawk	5.00	2.00	2.00	PopEst	PopEst	108.00	16.80	1.04	7.77	404.75	15.80	10.00	97.43	6.17	60.00	12.78	4.22	5.44	12.45	8.67	1.11
4/12/2003	April	4.00	Tomahawk	5.00	2.00	3.00	PopEst	PopEst	162.00	16.80	1.04	7.77	404.75	20.10	5.00	123.62	6.15	53.33	22.58	2.25	5.08	27.92	5.80	1.31
4/12/2003	April	4.00	Tomahawk	5.00	2.00	4.00	PopEst	PopEst	75.00	16.80	1.04	7.77	404.75	14.10	35.00	80.84	5.73	40.00	4.89	3.67	4.67	3.95	18.98	0.93
4/12/2003	April	4.00	Tomahawk	5.00	2.00	5.00	PopEst	PopEst	161.00	16.80	1.04	7.77	404.75	26.90	15.00	105.80	3.93	70.00	25.83	0.72	4.22	27.33	5.89	1.52
4/12/2003	April	4.00	Tomahawk	5.00	2.00	6.00	PopEst	PopEst	234.00	16.80	1.04	7.77	404.75	15.30		98.94	6.47	93.33	5.44	7.56	3.89	5.39	43.44	2.37
4/12/2003	April	4.00	Tomahawk	5.00	2.00	7.00	PopEst	PopEst	216.00	16.80	1.04	7.77	404.75	35.30	10.00	298.54	8.46	57.14	48.14	0.00	4.10	143.72	1.50	0.72
4/12/2003	April	4.00	Tomahawk	5.00	2.00	8.00	PopEst	PopEst	197.00	16.80	1.04	7.77	404.75	22.50	15.00	156.38	6.95	35.00	29.67	0.50	3.92	46.39	4.25	1.26
6/4/2003	June	6.00	Tomahawk	5.00	2.00	1.00	PopEst	PopEst	212.00	14.79	0.90	7.65	389.17	15.30	10.00	130.36	8.52		15.93	3.07	4.33	20.77	10.21	1.63
6/4/2003	June	6.00	Tomahawk	5.00	2.00	2.00	PopEst	PopEst	235.00	14.81	0.89	7.65	389.03	24.80	10.00	188.07	7.58		19.11	7.17	3.50	35.94	6.54	1.25
6/4/2003	June	6.00	Tomahawk	5.00	2.00	3.00	PopEst	PopEst	179.00	15.24	0.98	7.70	388.13	13.80	10.00	100.74	7.30		22.00	10.22	4.44	22.16	8.08	1.78
6/4/2003	June	6.00	Tomahawk	5.00	2.00	4.00	PopEst	PopEst	254.00	15.24	0.97	7.69	388.27	20.50	15.00	115.21	5.62		24.73	7.00	4.80	28.50	8.91	2.20
6/4/2003	June	6.00	Tomahawk	5.00	2.00	5.00	PopEst	PopEst	147.00	15.22	0.96	7.66	389.70	13.70	35.00	91.45	6.68		10.08	23.50	4.75	9.22	15.94	1.61
6/4/2003	June	6.00	Tomahawk	5.00	2.00	6.00	PopEst	PopEst	126.00	15.23	0.96	7.65	389.63	31.60	30.00	140.09	4.43		35.33	3.44	3.61	49.50	2.55	0.90
6/4/2003	June	6.00	Tomahawk	5.00	2.00	7.00	PopEst	PopEst	94.00	15.21	0.98	7.64	389.73	14.60	15.00	117.17	8.03		12.17	7.75	3.33	14.26	6.59	0.80
6/4/2003	June	6.00	Tomahawk	5.00	2.00	8.00	PopEst	PopEst	408.00					35.00	15.00	252.00	7.20		45.50	1.39	4.22	114.66	3.56	1.62
6/4/2003	June	6.00	Tomahawk	5.00	2.00	9.00	PopEst	PopEst	416.00					21.90	15.00	124.83	5.70		29.83	5.58	3.83	37.24	11.17	3.33
8/13/2003	August	8.00	Tomahawk	5.00	2.00	1.00	PopEst	PopEst	178.00					18.70	15.00	104.25	5.58	13.75	13.50	1.75	4.08	14.07	12.65	1.71
8/13/2003	August	8.00	Tomahawk	5.00	2.00	2.00	PopEst	PopEst	79.00					19.70	25.00	121.16	6.15	36.25	14.25	0.83	4.33	17.26	4.58	0.65
8/13/2003	August	8.00	Tomahawk	5.00	2.00	3.00	PopEst	PopEst	81.00					15.30	15.00	72.93	4.77	18.33	17.11	0.89	5.44	12.48	6.49	1.11
8/13/2003	August	8.00	Tomahawk	5.00	2.00	4.00	PopEst	PopEst	30.00					14.40	40.00	44.16	3.07	10.00	8.11	4.44	4.56	3.58	8.38	0.68
8/13/2003	August	8.00	Tomahawk	5.00	2.00	5.00	PopEst	PopEst	138.00					28.30	25.00	99.62	3.52	44.00	22.93	0.00	4.53	22.85	6.04	1.39
8/13/2003	August	8.00	Tomahawk	5.00	2.00	6.00	PopEst	PopEst	14.00					14.10	15.00	43.24	3.07	75.00	4.33	2.56	4.11	1.87	7.47	0.32
8/13/2003	August	8.00	Tomahawk	5.00	2.00	7.00	PopEst	PopEst	330.00					36.80	15.00	288.62	7.84	37.86	45.19	0.00	4.19	130.43	2.53	1.14
8/13/2003	August	8.00	Tomahawk	5.00	2.00	8.00	PopEst	PopEst	296.00					24.20	15.00	156.33	6.46	33.00	22.73	0.00	4.07	35.54	8.33	1.89
10/5/2003	October	10.00	Tomahawk	5.00	2.00	1.00	PopEst	PopEst	61.00					16.70	15.00	104.65	6.27	25.00	16.33	1.33	4.78	17.09	3.57	0.58
10/5/2003	October	10.00	Tomahawk	5.00	2.00	2.00	PopEst	PopEst	36.00					13.70	20.00	93.62	6.83	38.33	15.33	3.11	4.33	14.35	2.51	0.38
10/5/2003	October	10.00	Tomahawk	5.00	2.00	3.00	PopEst	PopEst	65.00					21.80	20.00	126.44	5.80	38.75	24.50	2.75	4.25	30.98	2.10	0.51
10/5/2003	October	10.00	Tomahawk	5.00	2.00	4.00	PopEst	PopEst	9.00					13.40	65.00	66.11	4.93	11.67	8.89	22.78	4.78	5.88	1.53	0.14
10/5/2003	October	10.00	Tomahawk	5.00	2.00	5.00	PopEst	PopEst	100.00					31.90	50.00	111.65	3.50	37.50	24.83	0.33	3.17	27.73	3.61	0.90
10/5/2003	October	10.00	Tomahawk	5.00	2.00	6.00	PopEst	PopEst	12.00					14.90	30.00	57.12	3.83	66.67	7.22	7.22	3.22	4.13	2.91	0.21
10/5/2003	October	10.00	Tomahawk	5.00	2.00	7.00	PopEst	PopEst	341.00					34.30	20.00	240.67	7.02	39.17	50.56	0.06	3.89	121.67	2.80	1.42
10/5/2003	October	10.00	Tomahawk	5.00	2.00	8.00	PopEst	PopEst	142.00					22.10	20.00	135.92	6.15	23.75	26.25	0.67	4.00	35.68	3.98	1.04
4/9/2003	April	4.00	Water	6.00	2.00	1.00	PopEst	PopEst	281.00	11.82	1.01	7.71	351.60	63.00	75.00	382.20	6.07	56.11	7.19	4.15	3.93	27.46	10.23	0.74
4/9/2003	April	4.00	Water	6.00	2.00	2.00	PopEst	PopEst	156.00	11.82	1.01	7.71	351.60	35.10	25.00	200.07	5.70	59.17	20.89	3.33	4.22	41.79	3.73	0.78
4/9/2003	April	4.00	Water	6.00	2.00	3.00	PopEst	PopEst	83.00	11.82	1.01	7.71	351.60	15.10	25.00	90.60	6.00	76.67	9.56	6.33	3.78	8.66	9.59	0.92
4/9/2003	April	4.00	Water	6.00	2.00	4.00	PopEst	PopEst	161.00	11.82	1.01	7.71	351.60	25.90	10.00	182.85	7.06	50.00	11.67	1.33	3.40	21.33	7.55	0.88
4/9/2003	April	4.00	Water	6.00	2.00	5.00	PopEst	PopEst	281.00	11.82	1.01	7.71	351.60	73.20	75.00	408.09	5.58	55.00	10.14	3.39	3.86	41.38	6.79	0.69
4/9/2003	April	4.00	Water	6.00	2.00	6.00	PopEst	PopEst	347.00	11.82	1.01	7.71	351.60	38.20	25.00	184.63	4.83	80.00	22.22	1.06	4.72	41.03	8.46	1.88
6/3/2003	June	6.00	Water	6.00	2.00	1.00	PopEst	PopEst	108.00	17.61	0.69	7.98	363.87	21.90	35.00	111.25	5.08		14.20	11.00	3.40	15.80	6.84	0.97
6/3/2003	June	6.00	Water	6.00	2.00	2.00	PopEst	PopEst	122.00	17.63	0.73	7.98	363.60	43.20	25.00	275.40	6.38		13.00	7.13	3.71	35.80	3.41	0.44
6/3/2003	June	6.00	Water	6.00	2.00	3.00	PopEst	PopEst	353.00	17.66	0.77	7.97	363.60	29.70	20.00	164.54	5.54		24.80	1.87	3.40	40.81	8.65	2.15
6/3/2003	June	6.00	Water	6.00	2.00	4.00	PopEst	PopEst	78.00	17.67	0.85	7.93	358.43	13.30	15.00	81.13	6.10		12.56	7.78	3.44	10.19	7.66	0.96
6/3/2003	June	6.00	Water	6.00	2.00	5.00	PopEst	PopEst	173.00	17.67	0.84	7.90	358.60	30.20	15.00	193.28	6.40		17.72	1.28	3.39	34.25	5.05	0.90
6/3/2003	June	6.00	Water	6.00	2.00	6.00	PopEst	PopEst	222.00	17.44	0.88	7.96	356.87	71.10	25.00	360.83	5.08		16.00	8.96	3.50	57.73	3.85	0.62
6/3/2003	June	6.00	Water	6.00	2.00	7.00	PopEst	PopEst	402.00	17.27	0.92	7.93	355.87	32.30	10.00	158.27	4.90		25.27	2.47	4.00	39.99	10.05	2.54
8/10/2003	August	8.00	Water	6.00	2.00	1.00	PopEst	PopEst	883.00	20.30	0.65	7.86	359.40	66.40	45.00	374.69	5.64	23.93	8.05	2.12	3.67	30.15	29.28	2.36
8/10/2003	August	8.00	Water	6.00	2.00	2.00	PopEst	PopEst	266.00	20.30	0.65	7.86	359.40	28.10	15.00	156.80	5.58	21.00	13.40	0.27	3.53	21.01	12.66	1.70
8/10/2003	August	8.00	Water	6.00	2.00	3.00	PopEst	PopEst	92.00	20.30	0.65	7.86	359.40	15.10	20.00	69.46	4.60	16.67	5.22	2.11	3.78	3.63	25.36	1.32
8/10/2003	August	8.00	Water	6.00	2.00	4.00	PopEst	PopEst	142.00	20.30	0.65	7.86	359.40	32.50	5.00	211.79	6.52	22.50	9.06	0.83	3.33	19.18	7.40	0.67
